DATE_TIME,AIR_TEMP_CELSIUS,WIND_SPEED_M_PER_S,AIR_HUMIDITY_MB,CLOUDINESS_TOTAL,CLOUDINESS_LOWER
1958-02-01T01:00:00,-4.2,,4.4,,
1958-02-01T07:00:00,-0.7,2.0,5.8,10,10
1958-02-01T13:00:00,-0.6,4.0,6.2,10,10
1958-02-01T19:00:00,-0.4,3.0,5.9,10,10
1958-02-02T01:00:00,-0.3,,5.8,,
1958-02-02T07:00:00,0.4,5.0,5.8,8,8
1958-02-02T13:00:00,0.0,9.0,6.1,10,10
1958-02-02T19:00:00,0.2,5.0,6.2,10,10
1958-02-03T01:00:00,-0.1,,5.8,,
1958-02-03T07:00:00,0.0,1.0,6.0,10,10
1958-02-03T13:00:00,0.1,3.0,6.0,10,10
1958-02-03T19:00:00,-0.4,1.0,5.9,10,10
1958-02-04T01:00:00,-0.8,,5.6,,
1958-02-04T07:00:00,-2.6,3.0,4.8,10,10
1958-02-04T13:00:00,-4.9,4.0,4.0,10,10
1958-02-04T19:00:00,-7.9,4.0,2.9,10,10
1958-02-05T01:00:00,-10.0,,2.4,,
1958-02-05T07:00:00,-12.2,1.0,2.1,10,10
1958-02-05T13:00:00,-10.8,0.0,2.3,10,3
1958-02-05T19:00:00,-20.5,0.0,1.0,2,1
1958-02-06T01:00:00,-13.0,,2.0,,
1958-02-06T07:00:00,-11.6,3.0,2.1,10,10
1958-02-06T13:00:00,-13.3,5.0,1.8,10,10
1958-02-06T19:00:00,-16.1,5.0,1.5,0,0
1958-02-07T01:00:00,-19.8,,1.1,,
1958-02-07T07:00:00,-28.7,0.0,0.5,0,0
1958-02-07T13:00:00,-17.4,0.0,1.3,0,0
1958-02-07T19:00:00,-24.9,0.0,0.6,0,0
1958-02-08T01:00:00,-20.9,,0.9,,
1958-02-08T07:00:00,-15.0,2.0,1.6,10,10
1958-02-08T13:00:00,-13.8,2.0,1.7,10,0
1958-02-08T19:00:00,-15.8,2.0,1.5,10,10
1958-02-09T01:00:00,-19.6,,1.1,,
1958-02-09T07:00:00,-27.3,1.0,0.5,10,0
1958-02-09T13:00:00,-16.4,1.0,1.4,10,0
1958-02-09T19:00:00,-19.6,0.0,1.1,0,0
1958-02-10T01:00:00,-17.7,,1.3,,
1958-02-10T07:00:00,-20.3,2.0,1.0,10,0
1958-02-10T13:00:00,-17.1,3.0,1.3,10,0
1958-02-10T19:00:00,-20.5,0.0,1.0,0,0
1958-02-11T01:00:00,-25.7,,0.6,,
1958-02-11T07:00:00,-28.8,0.0,0.5,10,0
1958-02-11T13:00:00,-16.2,0.0,1.5,2,0
1958-02-11T19:00:00,-21.1,0.0,1.0,5,0
1958-02-12T01:00:00,-16.8,,1.4,,
1958-02-12T07:00:00,-12.3,6.0,2.0,10,10
1958-02-12T13:00:00,-10.1,7.0,2.3,10,10
1958-02-12T19:00:00,-10.6,5.0,2.5,10,10
1958-02-13T01:00:00,-9.8,,2.6,,
1958-02-13T07:00:00,-9.7,1.0,2.5,10,10
1958-02-13T13:00:00,-7.5,1.0,2.7,10,10
1958-02-13T19:00:00,-7.1,2.0,3.0,10,10
1958-02-14T01:00:00,-7.4,,3.0,,
1958-02-14T07:00:00,-7.5,1.0,3.1,10,10
1958-02-14T13:00:00,-4.1,3.0,3.9,10,10
1958-02-14T19:00:00,-4.5,1.0,4.3,10,10
1958-02-15T01:00:00,-1.5,,5.4,,
1958-02-15T07:00:00,-0.9,3.0,5.6,10,10
1958-02-15T13:00:00,-0.2,1.0,6.0,10,10
1958-02-15T19:00:00,-0.4,3.0,5.7,10,10
1958-02-16T01:00:00,-0.7,,5.4,,
1958-02-16T07:00:00,-1.4,1.0,5.5,10,10
1958-02-16T13:00:00,-1.4,1.0,5.1,10,10
1958-02-16T19:00:00,-3.1,1.0,4.8,10,10
1958-02-17T01:00:00,-2.4,,4.7,,
1958-02-17T07:00:00,-2.8,5.0,4.6,10,5
1958-02-17T13:00:00,-4.6,7.0,3.9,10,10
1958-02-17T19:00:00,-8.3,7.0,2.8,10,10
1958-02-18T01:00:00,-9.5,,2.6,,
1958-02-18T07:00:00,-9.2,5.0,2.7,10,10
1958-02-18T13:00:00,-8.1,5.0,2.7,10,10
1958-02-18T19:00:00,-8.2,5.0,2.8,10,10
1958-02-19T01:00:00,-9.0,,2.7,,
1958-02-19T07:00:00,-9.5,3.0,2.7,10,6
1958-02-19T13:00:00,-6.6,4.0,3.1,10,10
1958-02-19T19:00:00,-7.7,1.0,3.1,10,10
